                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6371,                 3.3665,                 1.4156,                   0.05,                 0.8982,                0.23531,                0.15169,                 1.1102,                 2.9938,                0.96951,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.4254,                 2.9036,                 1.1926,                  0.054,                0.97006,                0.46652,                0.28115,                 1.1689,                 2.8696,                 0.9573,              0.0001206,              0.0001206,              0.0001206
                      3,                 1.4324,                 2.0095,                 1.1274,                  0.054,                0.97006,                0.54656,                0.35456,                 1.1255,                 2.7138,                0.94075,               9.52e-05,               9.52e-05,               9.52e-05
